text,label
no me sentí humillado,0
puedo pasar de sentirme tan desesperada a tan maldita esperanzada sólo de estar cerca de alguien que se preocupa y está despierto,0
agarrar un minuto para publicar me siento mal codicioso,3
siempre me siento nostálgico sobre la chimenea sabré que todavía está en la propiedad,2
me siento grouchy,3
he estado sintiendo un poco cargado últimamente no estaba seguro por qué,0
ive ha estado tomando o miligramos o veces la cantidad recomendada y se ha dormido mucho más rápido pero también me siento tan divertido,5
me siento tan confundido sobre la vida como un adolescente o como un hombre de un año,4
he estado con petronas durante años siento que petronas ha realizado bien y ha hecho un gran beneficio,1
me siento romántica también,2
siento que tengo que hacer el sufrimiento que veo significa algo,0
siento que correr es una experiencia divina y que puedo esperar tener algún tipo de encuentro espiritual,1
creo que es el momento más fácil del año para sentirse insatisfecho,3
me siento bajo energia,0
"tengo inmensa simpatía con el punto general, pero como posible escritor de proto tratando de encontrar tiempo para escribir en los rincones de la vida y sin señal de un agente que deja solo un contrato de publicación que se siente un poco precioso",1
no me siento seguro de que la ansiedad está en cada lado,1
realmente no sentí esa vergüenza,0
me siento bastante patético la mayor parte del tiempo,0
empecé a sentirme sentimental con muñecas que tenía como niño y así comenzó una colección de muñecas de barbie vintage de los años sesenta,0
me siento comprometida y escéptica del valor de cada unidad de trabajo que puse,4
me siento irritado y rechazado sin que nadie haga nada o diga algo,3
me siento completamente abrumado tengo dos estrategias que me ayudan a sentirme castigada derramando mi corazón en mi diario en forma de una carta a dios y luego terminar con una lista de cinco cosas que estoy muy agradecido por,4
tengo la sensación de que se divierte y encantada,1
fui capaz de ayudar a chai lifeline con su apoyo y aliento es un gran sentimiento y estoy tan contenta de que pudieras ayudarme,1
ya siento que me cagué porque normalmente no como en la mañana,3
sigo amando a mi así y deseo lo mejor para él ya no puedo tolerar el efecto que bm tiene en nuestras vidas y el hecho de que se ha convertido en una persona amarga enojada que no siempre es particularmente amable con la gente a su alrededor cuando se siente estresado,0
me siento tan inhibida en otra cocina como im pintura en otra imagen,0
me abruma y me siento derrotado,0
me siento un poco aturdida de que ella siente que necesita explicar en amplio y cerca de su cuerpo medidas etc pp,3
me siento más superior pollo muerto o niño afligido,1
me siento elegante en una falda de lápiz perfectamente equipada,1
recuerdo sentirme angustiado durante unos días,4
he visto escuchar y leer en los últimos días me siento impresionado por más de unas pocas empresas,5
subí a la colina sintiéndome frustrado que id casi se aceleró completamente equivocado para este curso y que un factor que nunca me ha obstaculizado había hecho tal dentadura en el día,3
no puedo imaginar un escenario de la vida real donde estaría emocionalmente conectado lo suficiente con alguien para sentirse totalmente aceptado y seguro donde sea moralmente aceptable para mí tener contacto físico cercano y prolongado y donde el sexo no será esperado posteriormente,1
no estoy seguro de lo que me haría sentir contento si algo,1
he estado sintiendo la necesidad de ser creativo,1
"no obstante, quiero que sepas que si alguien te está causando menos entonces tu espléndido auto alejarte de ellos",1
me siento un poco rudo escribiendo a un caballero anciano para pedir regalos porque me siento un poco avaricioso pero lo que es navidad si no la codicia suave,3
necesito que necesites a alguien que necesite ser protegido y sentir seguro que soy pequeño ahora me encuentro en una temporada sin palabras,1
planeo compartir mis historias de vida cotidiana viajando inspiraciones y creaciones hechas a mano contigo y espero que también te sientas inspirado,1
ya tengo mis árboles de navidad arriba tengo dos y me siento festiva que estoy seguro que me está estimulando para empezar en este libro,1
ive lo usó una vez por su cuenta con un pequeño ocultor y por los días se siente valiente pero no quiere ser pálido entonces su perfecto,1
me siento muy apasionada por cuando un idiota decide hacer popke y burlarse de nosotros,1
me estaba sintiendo tan desalentado que ya estamos robando a peter para pagar el paul para conseguir nuestra vaca este año pero no podemos darnos el lujo de no conseguir la vaca de esta manera,0
me sentía sin lista por la necesidad de cosas nuevas algo diferente,0
